feat_0,feat_1,feat_2,BIS
1.1729594037347755,1.0833403865841165,0.8641030819998265,94.0
0.9249706410326015,0.8985796567885398,0.8476063529875727,94.0
1.0076354294584782,0.9758118551154351,0.8576429117996357,93.0
1.42927948935303,1.1825210563305317,0.868404898110232,91.0
0.9694113195392469,0.9762399209206336,0.867743697979873,92.0
1.0921524149308177,1.0292900418845763,0.8481992653132299,91.0
1.3121201308909416,1.140173214774327,0.8588557440283185,91.0
1.0833777313045345,1.008542191411835,0.8372878610918113,92.0
1.1886697601974203,1.0603678242785115,0.8481372051286398,92.0
1.027867048297264,1.023977102206413,0.8640066743066691,91.0
1.1492699241819024,1.0495539859626262,0.8522392258651896,89.0
0.9178492048863521,0.9068164937335275,0.8413525848342168,88.0
0.9311215121811232,0.9176410266281052,0.8492195810257369,87.0
1.2650133476223924,1.119307592012425,0.857438811164093,88.0
1.071970480000967,1.0066428298543872,0.8617590395900294,88.0
1.0341758071455451,0.9945533806029987,0.859705520856001,90.0
1.1746021907639976,1.0911320611373112,0.8576428374110436,90.0
1.028420735587228,0.9812298154292192,0.8636462196915101,90.0
1.14711641164566,1.0418767682062402,0.847325445357426,89.0
1.2580209213923312,1.1363547135834655,0.8554945878741926,87.0
1.1753972169909468,1.101131711024876,0.8598932059000598,87.0
0.944959492844166,0.9267174856195863,0.8451542275882257,86.0
0.9952179904638258,0.9945085010566834,0.8368183478704755,88.0
0.9949633029130721,0.9452778720368427,0.8393183444040501,90.0
1.0960193745101143,1.0514790679015413,0.8635962591876779,90.0
1.122065521253077,1.055263783642674,0.8499288173184085,90.0
1.0191697850819752,0.976066700371931,0.8445194132906131,90.0
1.0340660648241926,1.016296945808751,0.8494401985917107,90.0
1.084363241509339,1.0428167174729515,0.8350944259187942,90.0
1.1771441158743998,1.0793207079844103,0.8657353751229735,90.0
1.0861411293543846,1.06034176441998,0.8555822935506581,92.0
1.1441460568941468,1.0658030841850548,0.8522988405324253,93.0
1.1474184376200292,1.0658562327876853,0.8412419659346303,92.0
1.058942505760484,1.0122724032897148,0.8602844275869692,92.0
1.3622711672759276,1.1876895670871792,0.8645201459834368,92.0
1.3214466731843708,1.1751047341258025,0.865250287726725,90.0
1.2457309203906966,1.168155300468725,0.876641493775519,91.0
1.0433585930644622,1.0052779481958831,0.8557030783191085,91.0
1.1167988472759647,1.0629498898294694,0.8465195952701267,91.0
1.2923552894174246,1.1554925377825978,0.8758088070121262,90.0
1.346070934658578,1.1829368957909647,0.8601334747470912,91.0
1.1767374502123744,1.0848424156971594,0.872418331271798,90.0
1.2675310018782395,1.152238570911134,0.8805117363247505,90.0
1.064787761781611,1.0339568046035699,0.8716977209890735,90.0
